source_id,source_name,lat,lon,total_co2_emissions_2025,total_activity_2025,activity_units,emissions_factor_2025,emissions_factor_units,total_capacity_2025,capacity_units,capacity_factor_2025,year,source
1896902,Birla Satna Cement Plant,24.59600906,80.85906793,849754.9321,1673899.206,t of cement,0.50765,t of CO2 per t of cement,2699373.456,t of cement,0.620316176,2025,Climate Trace
1896904,KJS Maihar Cement Plant,24.25375719,80.7979468,1529277.826,1946512.857,t of cement,0.78565,t of CO2 per t of cement,3499187.814,t of cement,0.556600345,2025,Climate Trace
1896912,Cement Corp of India Bokajan Cement Plant,26.02046967,93.76588248,86513.43132,110117.0131,t of cement,0.78565,t of CO2 per t of cement,197954.0535,t of cement,0.556600345,2025,Climate Trace
1896913,Cement Corp of India Tandur Cement Plant,17.33489456,77.48423774,488238.0237,621444.6938,t of cement,0.78565,t of CO2 per t of cement,999767.9467,t of cement,0.623500217,2025,Climate Trace
1896914,Cement Corp of India Rajban Cement Plant,30.52101435,77.66086755,122883.3643,156409.8063,t of cement,0.78565,t of CO2 per t of cement,247942.4508,t of cement,0.633243255,2025,Climate Trace
1896918,UltraTech Baikunth Cement Plant,21.49686109,81.78430205,605715.1413,1031583.939,t of cement,0.58717,t of CO2 per t of cement,2399443.072,t of cement,0.431374403,2025,Climate Trace
1896919,UltraTech Manikgarh Cement Plant,19.72171532,79.17684176,1795368.346,2643162.822,t of cement,0.67925,t of CO2 per t of cement,5998607.68,t of cement,0.442043872,2025,Climate Trace
1896920,UltraTech Maihar Cement Plant,24.19989462,80.79799604,2124889.273,3128287.484,t of cement,0.67925,t of CO2 per t of cement,5998607.68,t of cement,0.520874084,2025,Climate Trace
1896922,Chettinad Cement Kallur Cement Plant,17.36957319,77.44528333,1104324.631,1625799.971,t of cement,0.67925,t of CO2 per t of cement,2499419.867,t of cement,0.652104254,2025,Climate Trace
1896923,Chettinad Cement Karikkali Cement Plant,10.71232489,78.09310792,2273075.218,3346448.61,t of cement,0.67925,t of CO2 per t of cement,4498955.76,t of cement,0.743156372,2025,Climate Trace
1896924,Chettinad Cement Ariyalur Cement Plant,11.05804612,79.06346494,2981100.053,3794437.794,t of cement,0.78565,t of CO2 per t of cement,5498723.707,t of cement,0.692049295,2025,Climate Trace
1896925,Chettinad Cement Puliyur Cement Plant,10.9371654,78.15214635,568434.7368,723521.5895,t of cement,0.78565,t of CO2 per t of cement,1699605.509,t of cement,0.428442431,2025,Climate Trace
1896927,Dalmia Cement East Jaintia Hills Cement Plant,25.19083449,92.35994225,331153.2774,652325.9675,t of cement,0.50765,t of CO2 per t of cement,1499651.92,t of cement,0.432485033,2025,Climate Trace
1896929,Dalmia Cement YSR Cement Plant,14.93124979,78.34047331,859959.3427,1464583.243,t of cement,0.58717,t of CO2 per t of cement,2499419.867,t of cement,0.587112028,2025,Climate Trace
1896930,Dalmia Cement Dalmiapuram Cement Plant,10.96819303,78.94706206,846068.6587,1666637.76,t of cement,0.50765,t of CO2 per t of cement,3399211.019,t of cement,0.488945075,2025,Climate Trace
1896932,Dalmia Cement Belagavi Cement Plant,16.20485395,75.21022391,1362947.75,2684817.788,t of cement,0.50765,t of CO2 per t of cement,3999071.787,t of cement,0.672570732,2025,Climate Trace
1896933,Dalmia DSP Banjari Cement Plant,24.6707566,83.9883796,285965.9057,487024.0403,t of cement,0.58717,t of CO2 per t of cement,1099744.741,t of cement,0.441839707,2025,Climate Trace
1896934,OCL India Rajgangpur Cement Plant,22.2023412,84.59029157,3257335.186,4146038.549,t of cement,0.78565,t of CO2 per t of cement,6248549.667,t of cement,0.660884961,2025,Climate Trace
1896941,Heidelbergcement Damoh Cement Plant,23.9899971,79.39248638,865342.6001,1704604.748,t of cement,0.50765,t of CO2 per t of cement,2999303.84,t of cement,0.567269667,2025,Climate Trace
1896942,Zuari Cement Sitapuram Cement Plant,16.83187256,80.03705284,463811.0968,682828.2617,t of cement,0.67925,t of CO2 per t of cement,1313695.082,t of cement,0.522174502,2025,Climate Trace
1896947,India Cements Alathiyur Cement Plant,11.3558499,79.22513441,2345738.784,3453424.783,t of cement,0.67925,t of CO2 per t of cement,4708907.029,t of cement,0.733194586,2025,Climate Trace
1896948,India Cements Chilamakuru Cement Plant,14.664377,78.45819892,498416.8808,634400.663,t of cement,0.78565,t of CO2 per t of cement,1642118.853,t of cement,0.385902882,2025,Climate Trace
1896949,India Cements Malkapur Cement Plant,17.30852714,77.47411183,785845.533,1156931.223,t of cement,0.67925,t of CO2 per t of cement,2399443.072,t of cement,0.482233524,2025,Climate Trace
1896950,India Cements Sankari West Cement Plant,11.45351773,77.82905425,731491.2782,931065.0775,t of cement,0.78565,t of CO2 per t of cement,1699605.509,t of cement,0.549951346,2025,Climate Trace
1896951,India Cements Sankarnagar Cement Plant,8.789436597,77.73208597,571051.8412,726852.7222,t of cement,0.78565,t of CO2 per t of cement,2049524.291,t of cement,0.351150095,2025,Climate Trace
1896954,Trinetra Cement Banswara Cement Plant,23.60266799,74.2553551,601540.7289,765659.9363,t of cement,0.78565,t of CO2 per t of cement,1499651.92,t of cement,0.51237001,2025,Climate Trace
1896957,JK Cement Gotan Cement Plant,26.6443862,73.72788192,653181.351,822729.4324,t of cement,0.79392,t of CO2 per t of cement,1749593.907,t of cement,0.469697152,2025,Climate Trace
1896958,JK Cement Nimbahera Cement Plant,24.64206539,74.68439321,1808562.832,2662587.902,t of cement,0.67925,t of CO2 per t of cement,4898862.939,t of cement,0.544904135,2025,Climate Trace
1896959,JK Cement Mangrol Cement Plant,24.69438489,74.68330174,1786132.357,2629565.487,t of cement,0.67925,t of CO2 per t of cement,3749129.8,t of cement,0.703647269,2025,Climate Trace
1896962,JK Lakshmi Durg Cement Plant,21.37256246,81.44975257,1796478.82,2644797.674,t of cement,0.67925,t of CO2 per t of cement,4998839.733,t of cement,0.528940358,2025,Climate Trace
1896963,JK Lakshmi Sirohi Cement Plant,24.69095841,73.00272774,900068.447,1849747.111,t of cement,0.48659,t of CO2 per t of cement,4748897.747,t of cement,0.388482753,2025,Climate Trace
1896972,Jaypee Rewa Cement Plant,24.5657633,81.17385119,1012797.92,1289121.008,t of cement,0.78565,t of CO2 per t of cement,2999303.84,t of cement,0.430055,2025,Climate Trace
1896974,KCP Mukteswarapuram Cement Plant,16.83815611,80.06447538,1107301.484,1409408.113,t of cement,0.78565,t of CO2 per t of cement,3519183.172,t of cement,0.404448555,2025,Climate Trace
1896975,Kesoram Industries Basanth Nagar Cement Plant,18.71256006,79.40465488,733333.1449,1079621.855,t of cement,0.67925,t of CO2 per t of cement,1499651.92,t of cement,0.72057147,2025,Climate Trace
1896976,Kesoram Industries Gulbarga Cement Plant,17.1605906,77.29328309,4308902.32,6343617.696,t of cement,0.67925,t of CO2 per t of cement,8647992.739,t of cement,0.735259218,2025,Climate Trace
1896977,ACC Bargarh Cement Plant,21.37089653,83.61669224,634206.2845,1249298.305,t of cement,0.50765,t of CO2 per t of cement,2499419.867,t of cement,0.496192961,2025,Climate Trace
1896978,ACC Gagal Cement Plant,31.41254781,76.83680315,1439708.368,2836025.546,t of cement,0.50765,t of CO2 per t of cement,4638923.273,t of cement,0.611476733,2025,Climate Trace
1896979,ACC Chanda Cement Plant,19.9201159,79.11309662,699660.3497,1191580.547,t of cement,0.58717,t of CO2 per t of cement,3799118.197,t of cement,0.314477267,2025,Climate Trace
1896980,ACC Jamul Cement Plant,21.23878464,81.38294931,753934.8379,1485146.928,t of cement,0.50765,t of CO2 per t of cement,2999303.84,t of cement,0.493197377,2025,Climate Trace
1896981,ACC Chaibasa Cement Plant,22.42351794,85.75398488,359271.2612,611869.2392,t of cement,0.58717,t of CO2 per t of cement,1199721.536,t of cement,0.510009207,2025,Climate Trace
1896982,ACC Kymore Cement Plant,24.05262907,80.61389806,830377.2889,1635727.94,t of cement,0.50765,t of CO2 per t of cement,2719368.815,t of cement,0.600613023,2025,Climate Trace
1896983,ACC Lakheri Cement Plant,25.67170192,76.18927433,497218.8209,979452.0258,t of cement,0.50765,t of CO2 per t of cement,1499651.92,t of cement,0.656394817,2025,Climate Trace
1896985,ACC Wadi Cement Plant,17.06011276,76.97980981,1367350.086,2693489.778,t of cement,0.50765,t of CO2 per t of cement,5788656.412,t of cement,0.465774456,2025,Climate Trace
1896986,Ambuja Cements Ambujanagar Cement Plant,20.83546887,70.69139671,1273605.133,2508825.239,t of cement,0.50765,t of CO2 per t of cement,5698677.296,t of cement,0.442425849,2025,Climate Trace
1896987,Ambuja Cements Suli/Rauri Cement Plant,31.25234766,76.92840684,2014444.614,3430768.967,t of cement,0.58717,t of CO2 per t of cement,6798422.038,t of cement,0.508039949,2025,Climate Trace
1896988,Ambuja Cements Rabriyawas Cement Plant,26.29894355,74.12614923,583006.6421,1148442.12,t of cement,0.50765,t of CO2 per t of cement,2599396.661,t of cement,0.440260734,2025,Climate Trace
