source_id,source_name,lat,lon,total_co2_emissions_2025,total_activity_2025,activity_units,emissions_factor_2025,emissions_factor_units,total_capacity_2025,capacity_units,capacity_factor_2025,year,source
33998928,IND-Vadodara_methanol,22.24552375,73.24917844,23965.92,63909.12,t of chemical,0.375,t of CO2 per t of chemical,71808,t of chemical,0.89,2025,Climate Trace
33998964,IND-Raigarh_methanol,18.48842027,73.12769142,116.145,309.72,t of chemical,0.375,t of CO2 per t of chemical,348,t of chemical,0.89,2025,Climate Trace
33999003,IND-Mumbai Suburban_methanol,19.14044423,72.78052707,26364.915,70306.44,t of chemical,0.375,t of CO2 per t of chemical,78996,t of chemical,0.89,2025,Climate Trace
33999192,IND-Bharuch_methanol,21.78703133,72.8528791,86455.935,230549.16,t of chemical,0.375,t of CO2 per t of chemical,259044,t of chemical,0.89,2025,Climate Trace
45257031,Allahabad (Phulpur) Fertilizer Complex,25.5388885,82.0477413,4221775.246,1497083.421,t of chemical,2.82,t of CO2 per t of chemical,1698000,t of chemical,0.88167457,2025,Climate Trace
45257038,Babrala Fertilizer Complex,25.123,78.456,3232218.975,1146176.942,t of chemical,2.82,t of CO2 per t of chemical,1300000,t of chemical,0.88167457,2025,Climate Trace
45257040,Bareilly Fertilizer Complex,28.2282627,79.2427051,4510661.033,1599525.189,t of chemical,2.82,t of CO2 per t of chemical,1814190,t of chemical,0.88167457,2025,Climate Trace
45257067,Dibrugarh (Namrup) Fertilizer Complex,27.1816892,95.3485271,1143.708253,405.5703024,t of chemical,2.82,t of CO2 per t of chemical,460,t of chemical,0.88167457,2025,Climate Trace
45257102,Gujarat Narmada Valley Fertilizers & Chemicals Bharuch Complex,21.7411783,73.0122076,1107656.58,392786.0211,t of chemical,2.82,t of CO2 per t of chemical,445500,t of chemical,0.88167457,2025,Climate Trace
45257103,Gujarat State Fertilizers & Chemicals Vadodara Complex,22.346977,73.2100444,14893.07051,5281.230677,t of chemical,2.82,t of CO2 per t of chemical,5990,t of chemical,0.88167457,2025,Climate Trace
45257104,Hazira Fertilizer Complex,21.1663207,72.7050975,5805562.544,2058710.122,t of chemical,2.82,t of CO2 per t of chemical,2335000,t of chemical,0.88167457,2025,Climate Trace
45257117,Kakinada Fertilizer Complex,16.9741912,82.2650541,4972644.577,1763349.141,t of chemical,2.82,t of CO2 per t of chemical,2000000,t of chemical,0.88167457,2025,Climate Trace
45257118,Kalol Fertilizers Complex,23.192715,72.5519172,1353802.486,480071.8036,t of chemical,2.82,t of CO2 per t of chemical,544500,t of chemical,0.88167457,2025,Climate Trace
45257125,Kota Fertilizer Complex,25.1384006,75.8874722,3281945.421,1163810.433,t of chemical,2.82,t of CO2 per t of chemical,1320000,t of chemical,0.88167457,2025,Climate Trace
45257146,Namrup Chemical Complex,27.1868935,95.3738344,66306.1125,176816.3,t of chemical,0.375,t of CO2 per t of chemical,198670,t of chemical,0.89,2025,Climate Trace
45257147,Nangal Fertilizer Complex,31.3688637,76.356727,270760.4972,96014.36072,t of chemical,2.82,t of CO2 per t of chemical,108900,t of chemical,0.88167457,2025,Climate Trace
45257161,Panki Fertilizer Complex,26.4813186,80.1181532,1243036.828,440793.2015,t of chemical,2.82,t of CO2 per t of chemical,499950,t of chemical,0.88167457,2025,Climate Trace
45257174,Sagar (Banda) Phosphate Complex Unit II,24.044348,78.9574755,298358.6746,105800.9484,t of chemical,2.82,t of CO2 per t of chemical,120000,t of chemical,0.88167457,2025,Climate Trace
45257178,Shahjahanpur Fertilizer Complex,27.8327855,79.8301056,2148182.457,761766.8288,t of chemical,2.82,t of CO2 per t of chemical,864000,t of chemical,0.88167457,2025,Climate Trace
45257187,Taloja Fertilizer Complex,19.0734787,73.1234817,1488660.607,527893.8323,t of chemical,2.82,t of CO2 per t of chemical,598740,t of chemical,0.88167457,2025,Climate Trace
45257191,Tata Chemicals Soda Ash Facility,22.408057,69.00813,522880.352,1230306.711,t of chemical,0.425,t of CO2 per t of chemical,1321000,t of chemical,0.931344974,2025,Climate Trace
45257192,Thal Fertilizer Complex,18.7008168,72.8686683,4972644.577,1763349.141,t of chemical,2.82,t of CO2 per t of chemical,2000000,t of chemical,0.88167457,2025,Climate Trace
45257199,Tuticorin Chemical Complex,8.7411778,78.1367389,457099.6846,291251.6517,t of chemical,1.57,t of CO2 per t of chemical,321140,t of chemical,0.906930472,2025,Climate Trace
45257224,Zuarinagar Fertilizer Complex,15.3796587,73.8746468,2983586.746,1058009.484,t of chemical,2.82,t of CO2 per t of chemical,1200000,t of chemical,0.88167457,2025,Climate Trace
45257236,Sutrapada Chemical Plant,20.84684468,70.46550443,474985.9367,1117613.969,t of chemical,0.425,t of CO2 per t of chemical,1200000,t of chemical,0.931344974,2025,Climate Trace
