source_id,source_name,lat,lon,total_co2_emissions_2025,source,year,total_capacity_2025,total_activity_2025,activity_units,capacity_units
1,AGARTALA GT,23.8712,91.3602,308193,Central Electricity Authority,Nov-25,135,524.23,GWh,MW
2,AKALTARA TPP,21.9603,82.4091,9434520,Central Electricity Authority,Nov-25,1800,9834.16,GWh,MW
3,AKRIMOTA LIG,23.7689,68.6447,146806,Central Electricity Authority,Nov-25,250,65.78,GWh,MW
7,AMAR KANTAK,23.1642,81.6373,1419294,Central Electricity Authority,Nov-25,210,1399.26,GWh,MW
8,AMARAVATI TPP,21.0782,77.9009,8282887,Central Electricity Authority,Nov-25,1350,8605.47,GWh,MW
10,"ANAPARA ""C""",24.2007,82.8,7239567,Central Electricity Authority,Nov-25,1200,7658.76,GWh,MW
13,ANPARA,24.201,82.7891,15190953,Central Electricity Authority,Nov-25,2630,15654.77,GWh,MW
14,ANTA GT,25.1797,76.3188,232831,Central Electricity Authority,Nov-25,419.33,399.72,GWh,MW
15,ANUPPUR TPP,23.0655,81.7865,7805751,Central Electricity Authority,Nov-25,1250,8016.45,GWh,MW
16,AURAIYA GT,26.6282,79.5286,315069,Central Electricity Authority,Nov-25,663.36,524.9,GWh,MW
17,AVANTHA BHANDAR TPP,21.7438,83.2741,3848827,Central Electricity Authority,Nov-25,600,4146.1,GWh,MW
24,BAKRESWAR,23.8285,87.4513,8154297,Central Electricity Authority,Nov-25,1050,7846.8,GWh,MW
26,BALCO TPP,22.3930944,82.7439443,3834683,Central Electricity Authority,Nov-25,600,3711.87,GWh,MW
27,BANDAKHAR TPP,22.3421,82.4305,1884675,Central Electricity Authority,Nov-25,300,1781,GWh,MW
28,BANDEL,22.9956,88.4042,2180381,Central Electricity Authority,Nov-25,270,1975.55,GWh,MW
34,BARADARHA TPP,21.9114,83.1889,7705902,Central Electricity Authority,Nov-25,1200,8442.04,GWh,MW
35,BARAMURA,23.807,91.565,3096,Central Electricity Authority,Nov-25,42,3.44,GWh,MW
36,BARAUNI,25.3999,86.0218,3576934,Central Electricity Authority,Nov-25,710,3285.99,GWh,MW
39,BARH STPP,25.4865,85.7452,15308659,Central Electricity Authority,Nov-25,1320,8789.19,GWh,MW
40,BARKHERA TPP,28.4723,79.8066,421217,Central Electricity Authority,Nov-25,90,352.57,GWh,MW
41,BARSINGAR LIGNITE,27.8453,73.2,1876287,Central Electricity Authority,Nov-25,250,1543.26,GWh,MW
47,BELLARY TPS,15.1932,76.7195,8360412,Central Electricity Authority,Nov-25,1700,7608.11,GWh,MW
49,BHADRADRI  TPP,18.027488,80.735645,4781721,Central Electricity Authority,Nov-25,1080,4801.03,GWh,MW
54,BHAVNAGAR TPP,21.5837,72.2222,1999484,Central Electricity Authority,Nov-25,500,1271.94,GWh,MW
58,BHILAI TPP,21.184,81.4237,3199936,Central Electricity Authority,Nov-25,500,3294.34,GWh,MW
62,BHUSAWAL,21.0483,75.8425,7072439,Central Electricity Authority,Nov-25,1870,6653.77,GWh,MW
63,BINA TPP,23.3172,78.1336,2862519,Central Electricity Authority,Nov-25,500,2756.51,GWh,MW
64,BINJKOTE,22.0103,83.2058,3616606,Central Electricity Authority,Nov-25,600,3322.3,GWh,MW
68,BOKARO A ''EXP'',23.6783,86.0888,2843767,Central Electricity Authority,Nov-25,500,2953.89,GWh,MW
71,BONGAIGAON TPP,26.5145,90.5287,4479559,Central Electricity Authority,Nov-25,750,4367.63,GWh,MW
73,BUDGE BUDGE,22.4673,88.14,4727300,Central Electricity Authority,Nov-25,750,5060.3,GWh,MW
76,CHAKABURA TPP,22.3932,82.5532,222422,Central Electricity Authority,Nov-25,30,162.28,GWh,MW
80,CHANDRAPUR_Coal,20.0063,79.29,14840233,Central Electricity Authority,Nov-25,2920,13603.3,GWh,MW
82,CHANDRAPURA,23.7376,86.1273,3133206,Central Electricity Authority,Nov-25,500,3126.48,GWh,MW
86,CHHABRA TPS,24.6217,77.0357,14064260,Central Electricity Authority,Nov-25,2320,13843.71,GWh,MW
92,D.P.L.,23.5211,87.3023,3825238,Central Electricity Authority,Nov-25,550,3496.69,GWh,MW
93,DADRI (NCTPP),28.603,77.6078,8886467,Central Electricity Authority,Nov-25,1820,9115.25,GWh,MW
94,DADRI GT,28.5932,77.6101,353184,Central Electricity Authority,Nov-25,829.78,651.26,GWh,MW
