source_id,source_name,lat,lon,total_co2_emissions_2025,total_activity_2025,activity_units,emissions_factor_2025,emissions_factor_units,total_capacity_2025,capacity_units,capacity_factor_2025,year
712429,IOCL Paradip Refinery,20.248866,86.596963,4247062.104,108619266.4,BBL,0.039100449,t of CO2 per BBL,301000,BBL per day,360.86135,2025
712432,Guru Gobind Singh Refinery (HPCL-Mittal Energy Limited),29.923863,74.953334,3710021.76,94884376.95,BBL,0.039100449,t of CO2 per BBL,227000,BBL per day,417.99285,2025
712437,HPCL Visakh Refinery,17.7048,83.24465,3494601.032,115556848.4,BBL,0.030241401,t of CO2 per BBL,288000,BBL per day,400.84905,2025
712440,BPCL Bina Refinery,24.248,78.153,2250637.179,57560391.9,BBL,0.039100449,t of CO2 per BBL,157000,BBL per day,366.6267,2025
712446,CPCL Cauvery Basin Refinery,10.82753,79.81099,0,0,BBL,0.028842386,t of CO2 per BBL,0,BBL per day,0,2025
712447,IOCL Guwahati Refinery,26.18471,91.80725,336665.6123,8610274.8,BBL,0.039100449,t of CO2 per BBL,24000,BBL per day,358.76145,2025
712448,IOCL Digboi Refinery,27.38502,95.61987,224344.9758,5737657.25,BBL,0.039100449,t of CO2 per BBL,13000,BBL per day,441.35825,2025
712781,ONGC Tatipaka Refinery,16.502571,81.89539,9416.212115,506675.0313,BBL,0.018584322,t of CO2 per BBL,1325,BBL per day,382.39625,2025
3143912,RPL (Reliance Petroleum Limited) Jamnagar Refinery,22.335477,69.854513,18978991.76,485390632.4,BBL,0.039100449,t of CO2 per BBL,1369000,BBL per day,354.5585335,2025
3143915,Nayara Vadinar Oil Refinery,22.32912,69.74739,5848360.51,149572719.3,BBL,0.039100449,t of CO2 per BBL,401000,BBL per day,372.9993,2025
3143916,IOCL Panipat Refinery,29.47308,76.87831,3413702.079,112881742.4,BBL,0.030241401,t of CO2 per BBL,301000,BBL per day,375.0224,2025
3143918,CPCL Manali Refinery,13.15994,80.27766,2306392.123,76266046.5,BBL,0.030241401,t of CO2 per BBL,210000,BBL per day,363.17165,2025
3143919,Mangalore Refinery,12.9869,74.84739,5177245.374,132408846.5,BBL,0.039100449,t of CO2 per BBL,301000,BBL per day,439.8965,2025
3143920,IOCL Gujarat Koyali Refinery,22.37425,73.11948,4378643.031,111984468.8,BBL,0.039100449,t of CO2 per BBL,275000,BBL per day,407.21625,2025
3143921,IOCL Mathura Refinery,27.37846,77.68662,2327006.356,59513545.35,BBL,0.039100449,t of CO2 per BBL,161000,BBL per day,369.64935,2025
3143923,BPCL Kochi Refinery,9.9722,76.378,3720732.172,123034383.5,BBL,0.030241401,t of CO2 per BBL,311000,BBL per day,395.60895,2025
3143924,BPCL Mumbai Refinery,19.01682,72.89415,3407593.485,112679748,BBL,0.030241401,t of CO2 per BBL,240000,BBL per day,469.49895,2025
3143926,IOCL Barauni Refinery,25.42778,86.06001,1438984.948,47583276,BBL,0.030241401,t of CO2 per BBL,120000,BBL per day,396.5273,2025
3143927,IOCL Haldia Refinery,22.04581,88.10433,1941747.476,49660490.25,BBL,0.039100449,t of CO2 per BBL,161000,BBL per day,308.45025,2025
3143928,HPCL Mumbai Refinery,19.01794,72.90321,2202974.249,72846301.75,BBL,0.030241401,t of CO2 per BBL,191000,BBL per day,381.39425,2025
3143929,BPCL Numaligarh Refinery (NRL),26.58068,93.78909,880141.1015,22509744,BBL,0.039100449,t of CO2 per BBL,60000,BBL per day,375.1624,2025
3143930,IOCL Bongaigaon Refinery,26.51502,90.53294,373353.7806,20089717.2,BBL,0.018584322,t of CO2 per BBL,54000,BBL per day,372.0318,2025
