source_id,source_name,lat,lon,total_co2_emissions_2025,total_activity_2025,activity_units,emissions_factor_2025,emissions_factor_units,total_capacity_2025,capacity_units,capacity_factor_2025,year,source
1566841,BMM Ispat Danapur steel plant,15.17029188,76.37772995,3636558.836,1786243.529,t of steel,2.035869565,t of CO2 per t of steel,2207487.626,t of steel,0.809759164,2025,Climate Trace
1566846,JSW Steel Salem steel plant,11.81370758,77.91861868,1959274.826,1031197.277,t of steel,1.9,t of CO2 per t of steel,1259707.613,t of steel,0.819549668,2025,Climate Trace
1566848,SAIL IISCO steel plant,23.66556822,86.92061118,3829470.925,2015511.013,t of steel,1.9,t of CO2 per t of steel,2498420.099,t of steel,0.807293331,2025,Climate Trace
1566849,SAIL Bhilai steel plant,21.18507191,81.39195484,9467403.439,4982843.915,t of steel,1.9,t of CO2 per t of steel,6997375.859,t of steel,0.710187403,2025,Climate Trace
1566850,SAIL Bokaro steel plant,23.67347053,86.10240256,5761185.853,3032203.08,t of steel,1.9,t of CO2 per t of steel,4650920.488,t of steel,0.652378233,2025,Climate Trace
1566851,SAIL Durgapur steel plant,23.55029744,87.24669796,3136097.742,1650577.759,t of steel,1.9,t of CO2 per t of steel,2198489.715,t of steel,0.750133763,2025,Climate Trace
1566852,SAIL Rourkela steel plant,22.21220782,84.86612431,6505146.826,3423761.487,t of steel,1.9,t of CO2 per t of steel,4199025.376,t of steel,0.816460844,2025,Climate Trace
1566853,Tata Steel Jamshedpur steel plant,22.78828987,86.20013648,15007791.8,7898837.792,t of steel,1.9,t of CO2 per t of steel,10997447.41,t of steel,0.720656088,2025,Climate Trace
1566854,Tata Steel Kalinganagar steel plant,20.96839408,86.01111625,13592122.36,7153748.612,t of steel,1.9,t of CO2 per t of steel,7998143.574,t of steel,0.894255762,2025,Climate Trace
1566855,RINL Vizag Steel plant,17.6106677,83.19148013,11146453.66,5866554.557,t of steel,1.9,t of CO2 per t of steel,7300305.547,t of steel,0.802207068,2025,Climate Trace
1566856,Electrosteel Bokaro steel plant,23.63195007,86.29284195,3658730.594,1925647.681,t of steel,1.9,t of CO2 per t of steel,2165173.291,t of steel,0.895630501,2025,Climate Trace
1566859,Neelachal Ispat Nigam steel plant,20.99933532,86.02248637,1853112.696,975322.4716,t of steel,1.9,t of CO2 per t of steel,1099744.741,t of steel,0.885303071,2025,Climate Trace
1566861,Jindal Stainless Hisar steel plant,29.1270988,75.77283646,376418.8839,558816.6328,t of steel,0.6736,t of CO2 per t of steel,799814.3574,t of steel,0.698412939,2025,Climate Trace
1566863,SAIL Alloy Steel Plant,23.52733771,87.26947929,27996.7133,349958.9163,t of steel,0.08,t of CO2 per t of steel,500883.7413,t of steel,0.698412939,2025,Climate Trace
1566864,Hospet Steels Hospet plant,15.33875894,76.25189771,1081879.676,569410.3557,t of steel,1.9,t of CO2 per t of steel,649849.1654,t of steel,0.875742716,2025,Climate Trace
1566865,Mesco Steel Kalinganagar plant,20.97964323,86.04312222,2147878.014,1130462.113,t of steel,1.9,t of CO2 per t of steel,1199721.536,t of steel,0.942279024,2025,Climate Trace
1566868,Arjas Steel Tadipatri plant,14.87640074,78.0431633,554155.8405,291660.9687,t of steel,1.9,t of CO2 per t of steel,333922.4942,t of steel,0.871446166,2025,Climate Trace
1567206,NMDC Nagarnar steel plant,19.09773102,82.16613807,4789816.405,2520956.003,t of steel,1.9,t of CO2 per t of steel,2999303.84,t of steel,0.841157944,2025,Climate Trace
1567239,Evonith Value Steel Wardha Steel Plant,20.69617812,78.63898646,390444.8835,754402.4543,t of steel,0.517533322,t of CO2 per t of steel,1079749.382,t of steel,0.698412939,2025,Climate Trace
1567279,Jindal Stainless Jajpur steel plant,20.9559871,86.05216426,1203565.472,1786765.844,t of steel,0.6736,t of CO2 per t of steel,2199489.483,t of steel,0.808161298,2025,Climate Trace
32440769,JSW BPSL Jharsuguda steel plant,21.75920765,84.02083713,7754284.419,4240233.395,t of steel,1.82874,t of CO2 per t of steel,4998839.734,t of steel,0.84921726,2025,Climate Trace
32440770,Tata Steel BSL Meramandali steel plant,20.79423963,85.25979794,7885625.8,4111153.519,t of steel,1.918105408,t of CO2 per t of steel,5508721.386,t of steel,0.749264839,2025,Climate Trace
32440772,ArcelorMittal Nippon Steel Hazira Plant,21.11122226,72.64625163,15968629.04,7931668.075,t of steel,2.013275,t of CO2 per t of steel,9597772.288,t of steel,0.824175171,2025,Climate Trace
32440773,JSPL Angul steel plant,20.87693714,84.99088704,9091305.17,4541395.027,t of steel,2.001875,t of CO2 per t of steel,5998607.68,t of steel,0.759077265,2025,Climate Trace
32440774,JSPL Raigarh steel plant,21.92775335,83.34725219,7461049.966,3391386.348,t of steel,2.2,t of CO2 per t of steel,3599164.608,t of steel,0.942279027,2025,Climate Trace
32440775,JSW Steel Dolvi steel plant,18.68823504,73.03929615,15422360.22,7998986.791,t of steel,1.928039216,t of CO2 per t of steel,10197633.06,t of steel,0.783584102,2025,Climate Trace
32440777,JSW Steel Vijayanagar steel plant,15.1792329,76.65900519,18949195.43,9887714.556,t of steel,1.916438356,t of CO2 per t of steel,11896238.8,t of steel,0.832388465,2025,Climate Trace
32440787,Tata Steel Long Products Gamharia steel plant,22.80989309,86.0872932,1845678.652,872578.7879,t of steel,2.1152,t of CO2 per t of steel,1199721.536,t of steel,0.727654436,2025,Climate Trace
32440788,JSW Steel Raigarh steel plant,21.98389971,83.23754764,1633486.242,866479.0167,t of steel,1.8852,t of CO2 per t of steel,949779.5494,t of steel,0.912177929,2025,Climate Trace
32440792,Jayaswal Neco Industries Raipur steel plant,21.35430177,81.6716596,2062850.154,937659.1608,t of steel,2.2,t of CO2 per t of steel,1199721.536,t of steel,0.781704674,2025,Climate Trace
32440796,Jai Balaji Durgapur Unit IV steel plant,23.48384082,87.35986311,485260.4532,255400.2385,t of steel,1.9,t of CO2 per t of steel,294931.5443,t of steel,0.866216884,2025,Climate Trace
32440799,Sunflag Iron and Steel plant,21.23296616,79.6315049,888917.1626,404053.2557,t of steel,2.2,t of CO2 per t of steel,524878.172,t of steel,0.767908626,2025,Climate Trace
42741414,Welspun Metallics Anjar Steel plant,23.11529732,70.08466168,390562.4778,205559.1988,t of steel,1.9,t of CO2 per t of steel,287933.1687,t of steel,0.709361593,2025,Climate Trace
42741420,Rashmi Metaliks Kharagpur steel plant,22.36277883,87.29904009,568276.4389,299092.8626,t of steel,1.9,t of CO2 per t of steel,497884.4375,t of steel,0.600722212,2025,Climate Trace
42741421,Godawari Power and Ispat Siltara steel plant,21.37586838,81.68210776,1017103.503,535317.6333,t of steel,1.9,t of CO2 per t of steel,658847.0769,t of steel,0.814501698,2025,Climate Trace
42741422,Prakash Industries Janjgir steel plant,22.00099978,82.66988764,1973739.348,1038810.183,t of steel,1.9,t of CO2 per t of steel,1189723.857,t of steel,0.873276576,2025,Climate Trace
42741425,Jai Balaji Jyoti Steels Sundargarh plant,22.08467197,84.86145084,152591.6135,80311.37551,t of steel,1.9,t of CO2 per t of steel,91978.6511,t of steel,0.873276576,2025,Climate Trace
42741426,Orissa Sponge Iron and Steel plant,21.80206829,85.56614403,167519.0539,88167.92311,t of steel,1.9,t of CO2 per t of steel,100976.5626,t of steel,0.873276576,2025,Climate Trace
42741427,MSP Steel & Power Raigarh plant,21.87785959,83.55498362,638562.7303,336085.6475,t of steel,1.9,t of CO2 per t of steel,384910.6595,t of steel,0.873276576,2025,Climate Trace
42741773,Yazdani Steel and Power Kalinganagar steel plant,20.92565146,86.03991782,182446.4944,96024.47072,t of steel,1.9,t of CO2 per t of steel,109974.4741,t of steel,0.873276576,2025,Climate Trace
42741774,Rungta Mines Dhenkanal steel plant,20.76194258,85.29527038,341672.5258,179827.6452,t of steel,1.9,t of CO2 per t of steel,205952.197,t of steel,0.873276576,2025,Climate Trace
42741775,Orissa Metaliks Markuta steel plant,21.85722113,83.96720289,165291.7497,86995.65774,t of steel,1.9,t of CO2 per t of steel,107974.9382,t of steel,0.805026025,2025,Climate Trace
42741776,JSW Vijayanagar Metallics steel plant,15.18181671,76.67982874,4592008.935,2416846.808,t of steel,1.9,t of CO2 per t of steel,2766817.127,t of steel,0.873276576,2025,Climate Trace
42741807,Orissa Alloy Steel Kharagpur Plant,22.364258,87.309047,912232.4718,480122.3536,t of steel,1.9,t of CO2 per t of steel,549872.3707,t of steel,0.873276576,2025,Climate Trace
42741811,Shri Bajrang Power & Ispat Tilda Steel Plant,21.48569513,81.77092313,829302.2471,436474.8669,t of steel,1.9,t of CO2 per t of steel,499883.9734,t of steel,0.873276576,2025,Climate Trace
42741813,Shyam Steel Raghunathpur Steel Plant,23.590212,86.724603,696613.8876,366638.8882,t of steel,1.9,t of CO2 per t of steel,419902.5376,t of steel,0.873276576,2025,Climate Trace
42741822,Shyam Metalics Jamuria Steel Plant,23.68854806,87.12277804,1689138.303,889020.1592,t of steel,1.9,t of CO2 per t of steel,1143734.531,t of steel,0.776967803,2025,Climate Trace
42741826,Shakambhari Ispat and Power Purulia Steel Plant,23.61426764,86.78964963,880718.9864,463536.3086,t of steel,1.9,t of CO2 per t of steel,530876.7797,t of steel,0.873276576,2025,Climate Trace
42741829,Shyam Metalics Sambalpur Steel Plant,21.67749003,84.04141118,2844506.708,1497108.793,t of steel,1.9,t of CO2 per t of steel,1714602.029,t of steel,0.873276576,2025,Climate Trace
42741834,Orissa Metaliks Kharagpur Steel Plant,22.37713271,87.27944371,1492744.045,785654.7604,t of steel,1.9,t of CO2 per t of steel,899791.152,t of steel,0.873276576,2025,Climate Trace
42741835,Mono Steel Gandhidham plant,23.31293433,70.20019133,1277125.461,672171.295,t of steel,1.9,t of CO2 per t of steel,769821.319,t of steel,0.873276576,2025,Climate Trace
42741836,Shyam Steel Mejia Steel Plant,23.56371354,87.08649145,208984.1663,109991.6665,t of steel,1.9,t of CO2 per t of steel,125970.7613,t of steel,0.873276576,2025,Climate Trace
42741838,Nilachal Iron & Power Gamharia Steel Plant,22.87479903,86.06410152,164201.8449,86422.02365,t of steel,1.9,t of CO2 per t of steel,98977.02672,t of steel,0.873276576,2025,Climate Trace
42741848,N R Ispat and Power Raigarh steel plant,22.01241242,83.33068183,113715.2542,59850.1338,t of steel,1.9,t of CO2 per t of steel,68454.61487,t of steel,0.873276576,2025,Climate Trace
42741849,Adhunik Metaliks Kuanrmunda steel plant,22.3097259,84.76662294,860608.0343,391185.4702,t of steel,2.2,t of CO2 per t of steel,499883.9734,t of steel,0.780939992,2025,Climate Trace
42741850,Rungta Mines Chaliyama steel plant,22.58775772,85.90658449,1154388.728,607573.0147,t of steel,1.9,t of CO2 per t of steel,695838.4909,t of steel,0.873276576,2025,Climate Trace
